round,game,player,pts for,pts against,delta,result
1.0,1.0,weir z,100.0,0.0,100.0,win
1.0,1.0,none,0.0,100.0,-100.0,loss
1.0,2.0,taylor b,84.0,78.0,6.0,win
1.0,2.0,matt a,78.0,84.0,-6.0,loss
1.0,3.0,dan w,43.0,96.0,-53.0,loss
1.0,3.0,mohammed f,96.0,43.0,53.0,win
1.0,4.0,mark a,45.0,84.0,-39.0,loss
1.0,4.0,andy s,84.0,45.0,39.0,win
1.0,5.0,andy b,65.0,97.0,-32.0,loss
1.0,5.0,chris a,97.0,65.0,32.0,win
2.0,1.0,weir z,52.0,0.0,52.0,win
2.0,1.0,mohammed f,0.0,52.0,-52.0,loss
2.0,2.0,matt a,58.0,78.0,-20.0,loss
2.0,2.0,andy s,78.0,58.0,20.0,win
2.0,3.0,none,0.0,100.0,-100.0,loss
2.0,3.0,chris a,100.0,0.0,100.0,win
2.0,4.0,taylor b,70.0,66.0,4.0,win
2.0,4.0,andy b,66.0,70.0,-4.0,loss
2.0,5.0,dan w,88.0,35.0,53.0,win
2.0,5.0,mark a,35.0,88.0,-53.0,loss
3.0,1.0,weir z,55.0,97.0,-42.0,loss
3.0,1.0,chris a,97.0,55.0,42.0,win
3.0,2.0,andy s,85.0,63.0,22.0,win
3.0,2.0,andy b,63.0,85.0,-22.0,loss
3.0,3.0,mohammed f,92.0,23.0,69.0,win
3.0,3.0,mark a,23.0,92.0,-69.0,loss
3.0,4.0,matt a,43.0,84.0,-41.0,loss
3.0,4.0,dan w,84.0,43.0,41.0,win
3.0,5.0,none,0.0,100.0,-100.0,loss
3.0,5.0,taylor b,100.0,0.0,100.0,win
4.0,1.0,weir z,65.0,89.0,-24.0,loss
4.0,1.0,andy s,89.0,65.0,24.0,win
4.0,2.0,mohammed f,27.0,100.0,-73.0,loss
4.0,2.0,chris a,100.0,27.0,73.0,win
4.0,3.0,matt a,96.0,64.0,32.0,win
4.0,3.0,andy b,64.0,96.0,-32.0,loss
4.0,4.0,none,0.0,100.0,-100.0,loss
4.0,4.0,mark a,100.0,0.0,100.0,win
4.0,5.0,taylor b,91.0,75.0,16.0,win
4.0,5.0,dan w,75.0,91.0,-16.0,loss
5.0,1.0,weir z,94.0,49.0,45.0,win
5.0,1.0,mark a,49.0,94.0,-45.0,loss
5.0,2.0,andy b,0.0,100.0,-100.0,loss
5.0,2.0,dan w,100.0,0.0,100.0,win
5.0,3.0,chris a,91.0,90.0,1.0,win
5.0,3.0,taylor b,90.0,91.0,-1.0,loss
5.0,4.0,andy s,100.0,0.0,100.0,win
5.0,4.0,none,0.0,100.0,-100.0,loss
5.0,5.0,mohammed f,94.0,32.0,62.0,win
5.0,5.0,matt a,32.0,94.0,-62.0,loss
6.0,1.0,weir z,92.0,32.0,60.0,win
6.0,1.0,matt a,32.0,92.0,-60.0,loss
6.0,2.0,none,0.0,100.0,-100.0,loss
6.0,2.0,mohammed f,100.0,0.0,100.0,win
6.0,3.0,taylor b,59.0,29.0,30.0,win
6.0,3.0,andy s,29.0,59.0,-30.0,loss
6.0,4.0,dan w,37.0,94.0,-57.0,loss
6.0,4.0,chris a,94.0,37.0,57.0,win
6.0,5.0,mark a,50.0,50.0,0.0,draw
6.0,5.0,andy b,50.0,50.0,0.0,draw
7.0,1.0,weir z,94.0,29.0,65.0,win
7.0,1.0,taylor b,29.0,94.0,-65.0,loss
7.0,2.0,dan w,100.0,0.0,100.0,win
7.0,2.0,none,0.0,100.0,-100.0,loss
7.0,3.0,mark a,60.0,98.0,-38.0,loss
7.0,3.0,matt a,98.0,60.0,38.0,win
7.0,4.0,andy b,41.0,97.0,-56.0,loss
7.0,4.0,mohammed f,97.0,41.0,56.0,win
7.0,5.0,chris a,97.0,29.0,68.0,win
7.0,5.0,andy s,29.0,97.0,-68.0,loss
8.0,1.0,weir z,89.0,61.0,28.0,win
8.0,1.0,dan w,61.0,89.0,-28.0,loss
8.0,2.0,mark a,41.0,86.0,-45.0,loss
8.0,2.0,taylor b,86.0,41.0,45.0,win
8.0,3.0,andy b,100.0,0.0,100.0,win
8.0,3.0,none,0.0,100.0,-100.0,loss
8.0,4.0,chris a,90.0,62.0,28.0,win
8.0,4.0,matt a,62.0,90.0,-28.0,loss
8.0,5.0,andy s,91.0,63.0,28.0,win
8.0,5.0,mohammed f,63.0,91.0,-28.0,loss
